Video Title,Comment
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Ibu airin sdh berpengalaman seperti tangerang selatan
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Bersabar lebih baik semoga Allah mengabulkan hajat Bu Airin dan pa ade
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Ibujangantakutsayamendukumu
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Keren banget cara bicara ny bu airin 😊
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Saya dukung Airin yang lain SINGKIRIN DULU 😂😁
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"Saya sebagai warga tangerang asli sangat menginginkan tangerang pisah dari banten,karena di banten selama masih ada 3 DINASTI yaitu, Dinasti Atut,Dinasti Jayabaya,Dinasti Dimyati di jamin banten ga akan pernah maju,jadi yg saya inginkan adalah Tangerang Raya pisah dari Banten."
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Siapapun pemimpin nya dinasti banten tidak akan maju ...
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Andra dimyati
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,sama aja semua nya kalo udah naik mah ga bakal inget ke rakyat ... hehehe semua hanya janji palsu ..
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"😂😂,, pa andra slah pilih wakilnya kayanya ni,,, jadi semua masyarakat senengnya sama ibu airin semua deh,,, coba pa andra jadi wakil bu airin main cihuuy kayanya,,"
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"Korupsi bae parangsa aing anu di omong na, 😂"
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"Doakan untuk selalu istiqomah
Doakan untuk bisa terus amanah......

Ketika rakyat Banten mendoakan dua pesan beliau... mudah2an ketika jadi Banten 1.. doa rakyat Banten menjadi amunisi untuk Banten maju bersama tanpa syarat"
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Mari kita tumbangkn pasangan. Andra jngn sampai smpe menang Banten tetap Airin yg trbaik
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Semoga menang ibu Airin ya Allah ak mendukung mu
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Adidas anak didik dasco  dah mulai main  TDK seportip
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,banyak janji dulu kemanaajah
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"kata-kata penutup Debat pasangan Airin - Ade mengena di hati... semoga Allah mengabulkan segala hajat no 1,, Amiiin"
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Ibu Airin dan BPK Ade menang menang menang
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Hadeuhh bawa bawa nama prabowo terus
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Kayanya ibu airin yg biasa  menang
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,No 1 yes
